"barrels08","city08","highway08","comb08","co2TailpipeGpm","cylinders","displ","drive","fuelCost08","fuelType","id","make","model","mpgData","pv2","pv4","trany","VClass","year"
21.974,13,18,15,592.466666666667,6,2.8,"Front-Wheel Drive","2850","Regular",16238,"Volkswagen","Eurovan","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
14.9822727272727,20,25,22,403.954545454545,4,2.2,"Front-Wheel Drive","1950","Gasoline or natural gas",16403,"Chevrolet","Cavalier (Bi-fuel CNG)","Y","0","92","Automatic 3-spd","Subcompact Cars","2000"
0.068888888888889,24,31,27,262.575,4,1.6,"Front-Wheel Drive","1200","CNG",16404,"Honda","Civic CNG","Y","85","90","Automatic 4-spd","Subcompact Cars","2000"
21.974,14,18,15,592.466666666667,6,3,"4-Wheel or All-Wheel Drive","2850","Gasoline or E85",16415,"Mazda","B3000 FFV 4WD","N","0","0","Automatic 4-spd","Standard Pickup Trucks 4WD","2000"
19.3888235294118,15,20,17,522.764705882353,6,3,"4-Wheel or All-Wheel Drive","2500","Gasoline or E85",16416,"Mazda","B3000 FFV 4WD","N","0","0","Manual 5-spd","Standard Pickup Trucks 4WD","2000"
21.974,14,18,15,592.466666666667,6,3,"4-Wheel or All-Wheel Drive","2850","Gasoline or E85",16418,"Ford","Ranger 4WD FFV","Y","0","0","Automatic 4-spd","Standard Pickup Trucks 4WD","2000"
19.3888235294118,15,20,17,522.764705882353,6,3,"4-Wheel or All-Wheel Drive","2500","Gasoline or E85",16419,"Ford","Ranger 4WD FFV","Y","0","0","Manual 5-spd","Standard Pickup Trucks 4WD","2000"
17.3478947368421,16,23,19,467.736842105263,6,3.3,"Front-Wheel Drive","2250","Gasoline or E85",16420,"Plymouth","Voyager/Grand Voyager 2WD","N","0","0","Automatic 4-spd","Minivan - 2WD","2000"
17.3478947368421,16,23,19,467.736842105263,6,3.3,"Front-Wheel Drive","2250","Gasoline or E85",16421,"Dodge","Caravan/Grand Caravan 2WD","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
18.3116666666667,16,22,18,493.722222222222,6,3.3,"Front-Wheel Drive","2350","Gasoline or E85",16422,"Chrysler","Town and Country/Voyager/Grand Voy. 2WD","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
19.3888235294118,14,22,17,522.764705882353,8,4.2,"All-Wheel Drive","3050","Premium",26338,"Audi","S5","N","84","0","Manual 6-spd","Subcompact Cars","2010"
